#step count 
0 276480 2.764800e+05
10 276480 2.764800e+05
20 276480 2.764800e+05
30 276480 2.764800e+05
40 276480 2.764800e+05
50 276480 2.764800e+05
60 276480 2.764800e+05
70 276480 2.764800e+05
80 276480 2.764800e+05
90 276480 2.764800e+05
100 276480 2.764800e+05
110 276480 2.764800e+05
120 276480 2.764800e+05
130 276480 2.764800e+05
140 276480 2.764800e+05
150 276480 2.764800e+05
160 276480 2.764800e+05
170 276480 2.764800e+05
180 276480 2.764800e+05
190 276480 2.764800e+05
200 276480 2.764800e+05

