species,id,px,py,pz
He4,4,-492.9851379394531,-68.25387573242188,281.79522705078125
He4,5,-492.9851379394531,-68.25387573242188,281.79522705078125
n,2,-397.7801513671875,-227.66305541992188,-876.6435546875
n,3,-397.7801513671875,-227.66305541992188,-876.6435546875
