species,id,px,py,pz
He4,4,26234.01953125,7921.58251953125,1365.6239013671875
He4,5,26234.01953125,7921.58251953125,1365.6239013671875
n,2,-6698.01220703125,-12606.4482421875,-8791.1943359375
n,3,-6698.01220703125,-12606.4482421875,-8791.1943359375
