#step <0 0.5 1 >1 count
0 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.985983715234374e+16 2.985983715234374e+16
50 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.981790567773437e+16 2.981790567773437e+16
100 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.978438222460937e+16 2.978438222460937e+16
150 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.974211198437500e+16 2.974211198437500e+16
200 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.970158714648437e+16 2.970158714648437e+16
250 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.965761849023437e+16 2.965761849023437e+16
300 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.961594383203124e+16 2.961594383203124e+16
350 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.957628172851562e+16 2.957628172851562e+16
400 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.953529409375000e+16 2.953529409375000e+16
450 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.950078487695312e+16 2.950078487695312e+16
500 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.946152529492187e+16 2.946152529492187e+16
550 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.942382142968750e+16 2.942382142968750e+16
600 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.938392924609374e+16 2.938392924609374e+16
650 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.934542703515624e+16 2.934542703515624e+16
700 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.930952262500000e+16 2.930952262500000e+16
750 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.927415911132812e+16 2.927415911132812e+16
800 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.924438217187500e+16 2.924438217187500e+16
850 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.921250851367187e+16 2.921250851367187e+16
900 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.918952729492187e+16 2.918952729492187e+16
950 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.916266176757812e+16 2.916266176757812e+16
1000 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.914331146875000e+16 2.914331146875000e+16
1050 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.911896827929687e+16 2.911896827929687e+16
1100 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.910243726562500e+16 2.910243726562500e+16
1150 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.908549998632812e+16 2.908549998632812e+16
1200 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.907065019726562e+16 2.907065019726562e+16
1250 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.905778158593750e+16 2.905778158593750e+16
1300 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.904415454882812e+16 2.904415454882812e+16
1350 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.903101867968750e+16 2.903101867968750e+16
1400 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.901500731054687e+16 2.901500731054687e+16
1450 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.899931888671874e+16 2.899931888671874e+16
1500 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.898821128710937e+16 2.898821128710937e+16
1550 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.897319427734374e+16 2.897319427734374e+16
1600 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.895520030664062e+16 2.895520030664062e+16
1650 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.893874333203124e+16 2.893874333203124e+16
1700 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.892214539843750e+16 2.892214539843750e+16
1750 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.890735119140624e+16 2.890735119140624e+16
1800 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.889359833007812e+16 2.889359833007812e+16
1850 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.888064639843750e+16 2.888064639843750e+16
1900 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.886281769726562e+16 2.886281769726562e+16
1950 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.884991095898437e+16 2.884991095898437e+16
2000 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.883280387500000e+16 2.883280387500000e+16
2050 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.881764305859374e+16 2.881764305859374e+16
2100 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.880162119531250e+16 2.880162119531250e+16
2150 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.878572990234374e+16 2.878572990234374e+16
2200 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.876884509375000e+16 2.876884509375000e+16
2250 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.874927694921874e+16 2.874927694921874e+16
2300 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.872557870117187e+16 2.872557870117187e+16
2350 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.870329072851562e+16 2.870329072851562e+16
2400 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.868659481445312e+16 2.868659481445312e+16
2450 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.866464022851562e+16 2.866464022851562e+16
2500 0.000000000000000e+00 0.000000000000000e+00 0.000000000000000e+00 2.864591019140624e+16 2.864591019140624e+16

